Post,Number of reactions,Nature of post,Channel,,,
"# Hey Guys. (We're trying to put together a gaming group here on Jellyfish discord)
**Anyone here play video games - why not join a gaming group.
JellyfishDAO is trying to put together its very own gaming group, but it needs you!
Have fun, spread the word on longevity, and help us grow our forum all at the same time while doing it. I have nominated Star Wars Battlefront II, so whether you love this game, or have a better idea for one we could all play, get in touch with the team and let us know. Message with your suggestions and let us know if its something youre interested in becoming part of**",0,Strategic announcement,Announcements,,,
Join us Thursday at 11AM PT for an AMA with legendary producer (60+ films!) as he breaks down why Web3 and DAOs are revolutionizing film financing. From traditional studios to the blockchain - this is one you won't want to miss!,1,Interview announcement,Announcements,,,
Oh damn,0,Reaction,General,,,
I reposted it in the movie nights thread - I though it was more appropriate there,0,Administrative note,General,,,
"PARADISE - * this Sunday the 22nd September at 18:00 BST *

As Jellyfish is away this week, I have been put in charge of the movie streaming

**I’ve chosen a great film to stream called paradise **

I can’t remember if I’ve seen a discussion about this before in the movie nights before or not, but not only is this rare as far as longevity media goes as it is a film directly focused on longevity, but it also covers many aspects relevant to longevity too - mainly commercialization, with a heavy focus on financing prevalent throughout society in this film, leading to a have/ have not culture through the way life extension is achieved. As most people in this sector are currently performing a role the government should be performing, this is longevity media that has a high degree of relevance to what we are trying to achieve
",1,Movie stream announcement,General,,,
"We recently streamed a great series of wolverine/ Deadpool films, and not only were these highly entertaining, but while I’ve seen them all before, I was personally surprised at how many great longevity depictions there were when I went back and watched them with the forum
Overall, these movie nights are a great way for those of us interested in the possibilities of longevity science to connect and enjoy the rare, depictions of this profound technology in a shared setting, so it would be great if we could get some more of you to attend these events, and hopefully if you’re seeing this you will be able join us tomorrow.

(I know many of us are very busy, but for those who have lots going on remember you don’t need to sit there watching and do nothing else. For me personally, I know I’m normally working and doing other stuff in the background while these films are playing. Sure we can all watch these things by ourselves, but by coming along to the movie nights it not only gives you a great way to connect with those like you have shared interested in the same thing, but it also means you can chat with like-minded people at the same time in the same too,  and who knows, you might also pick up some nuggets of information in the process!!!)

**How to get there**
Go to bottom left of screen
Select stages – then theatre

Hope to see you there",2,Movie stream announcement,General,,,
Sorry streaming has been postponed for this week - we will be back with you with a great streaming session next week again though!,2,Administrative note,General,,,
Hello jellyfish people! Have you ever been to a Longevity pop-up city? How about we organize one in LA next year?,2,Community suggestion,General,,,
Hey Victoria (Tim here). We are working towards one in LA called Bloom City! We'd love to collab with you. ,0,Reaction,General,,,
Maybe Jellyfish could contribute to Zelar city in some way? 🤔,0,Community suggestion,General,,,
open to ideas 🙂,0,Reaction,General,,,
what's the stage you're at with it?,0,Community question,General,,,
👋,3,Introduction,General,,,
Hows everyone been,1,Community question,General,,,
"We are all good here thanks. Dreaming about making it to the future and doing what we can to make it there
Last week we watched Paradise",0,Reaction,General,,,
"Just found this from another longevity channel 😎

""For any creatives/filmmakers working on a futurist longevity work^. Might be worth applying""

""**What type of project can I pitch?**
Your $100,000 idea can be about anything. Go out-of-the-box and submit your wildest, biggest, most creative idea.

**How much will Artlist grant? How will the Artlist $100K Fund winner receive their grant?**
One grant recipient will receive $100,000 USD in funding to bring their passion project or creative dream to life. The grant money will be delivered in installments, based on the progress and needs of the grant winners’ project.

**What’s the application deadline?**
You must submit your pitch by October 24, 2024 at 11:59PM EDT. Any application submitted after this date won’t be eligible.""
",2,Community suggestion,General,,,
Early - we submitted to the last gitcoin round (that you did) and had some minor issues with the submission so we plan to revise and submit for the next one. can fill you in on the submission details as it was a bit of an adventure 🙂,0,Reaction,General,,,
"Anyone has tips for content production on IG about longevity? 

Doing that in Portuguese. Almost no one talks about longevity yet in Brazil and it's a huge internal market so I'm trying to do that. All tips are greatly appreciated!",1,Community question,General,,,
Plenty of people with expertise in different areas in Jellyfish - anyone with any expertise that would be able to provide any suggestions on question above?,0,Community question,General,,,
Watch my YouTube video ,0,Community suggestion,General,,,
"Well done, great video! Good to see people making proactive media on this subject. In the video you mentioned A.I, I didn't realise it before but this will probably be important for developing truly effective life extension/ anti-aging biotechnology",0,Reaction,General,,,
Can we do a YouTube video together?,0,Community question,General,,,
"Would be a great idea at some point yes. I will need to get to back to you on this though as I have lots going on at the moment

Also, loved the most recent video you did and definetely agreed with the 6 points. Having a university course in particular is a great idea, and I also like the idea of life extension being a human right. The longevity community needs to mobilize behind ideas like this and bring them to the politicians - and if they wont listen we need to find ways to implement ourselves - great stuff!",0,Reaction,General,,,
I’m available this Wednesday in the AM or PM time for the YouTube videos,0,Reaction,General,,,
"Watch these last 3 videos regarding 6 laws to make humans immortal 
",1,Community suggestion,General,,,
Watch this video of immortality ,1,Community suggestion,General,,,
"Hi Everyone, Age Reversal Unity filed a citizen petition to FDA to classify aging as a disease. Please go to this link and comment to classify aging as a disease:  ",0,Community suggestion,General,,,
"# Movie nights and game streaming will be resuming soon!

A couple of changes happening in the background but we should be resuming these great events soon as these are a perfect way to connect with fellow longevity enthusiasts and enjoy some great longevity media both at the same time! Hope to see you there!",2,Administrative note,General,,,
Watch this YouTube video: I talk about if anti-aging supplements can cure aging or make humans immortal: ,0,Community suggestion,General,,,
"Did any of you read this? https://www.goodreads.com/book/show/91097.Trouble_with_Lichen

""a young female biochemist who discovers that a chemical extracted from an unusual strain of lichen can be used to slow down the ageing process, enabling people to live to around 200–300 years""",1,Community question,General,,,
"""Trouble with Lichen"" by John Wyndham is a captivating work of speculative fiction that delves into the complexities of human nature, scientific ethics, and societal change. Set in a near-future England, the novel follows the groundbreaking discovery of a lichen species with extraordinary properties. This lichen dramatically slows down the aging process, granting its users extended youth and vitality. At the heart of the story is Diana Brackley, a brilliant and ambitious biochemist who stumbles upon this miraculous lichen. As she grapples with the moral implications of her discovery, she becomes embroiled in a web of intrigue, power struggles, and ethical dilemmas. The narrative skillfully weaves together elements of scientific discovery, corporate greed, and personal ambition, offering a thought-provoking exploration of the consequences of tampering with nature. Through Wyndham's masterful storytelling, ""Trouble with Lichen"" raises profound questions about the pursuit of scientific progress and its impact on humanity. As Diana navigates the treacherous waters of scientific innovation and societal expectations, readers are compelled to reflect on the timeless themes of mortality, identity, and the quest for immortality. Rich in suspense and social commentary, this novel continues to captivate audiences with its timeless relevance and thought-provoking narrative.",3,Community question,General,,,
very interesting,0,Reaction,General,,,
Here in this video I talk about TAME clinical trials ,1,Community suggestion,General,,,
"If you need any content writing, let me know!",0,Reaction,General,,,
Hello. What are the requirements?,0,Community question,General,,,
"Yeah, and it's the third time this message has been posted in this channel, without any links or description of the product or service 🤔
I'm mostly wondering how you can pay so much and still be in search of people... 🤔",0,Community question,General,,,
"Guys, this is a bot. It sends you a drainer link or otherwise tries to scam you. You should use your server automod to block these posts and ban the poster.",3,Community suggestion,General,,,
"Thanks for letting us know! 🙂

Ping 🙂

posted the same message previously and seems to still be in the server 🤔",1,Community suggestion,General,,,
"It's a common scam, right next to ""I will teach 10 people how ...""",1,Reaction,General,,,
"Good spot, thank you! These posters have been banned ✅ I will set up functionality to hopefully prevent these in the future. My apologies 🙏",2,Administrative note,General,,,
"I used to read a lot of books but I don't have time to anymore. That book looks really good though.
Science fiction was my favourite genre but I never came across many longevity storylines in them though. One of the last books I read was from Wilbur smith called The Quest, it was set in Egypt and the protagonist Taita finds the 'fountain of youth' which rejuvenates  his old body back to the peak of baseline health...its one of my favourites!

I think its really great that there are people writing about longevity, although sadly it is still a niche when compared with other fields at present

I suppose one good idea it gives me is that it may be good for jellyfishDAO to publish its own book. 
Those who wanted to particapte could contribute about 25 pages each, possibly around various topics, say for instance, around what actions they've taken to help promote longevity science in their lives, like an autobiographical work...its certainly a good idea for publicity for the DAO and would help promote longevity science at the same time...",2,Reaction,General,,,
"These three fictional stories are those most often recommended in the longevity community 🙂
I've read both the fable and HPMoR twice and they are among the best books I've ever read! 🤓
And I look forward to reading the mars trilogy as well 😉

🎙️ The Fable of the Dragon Tyrant
https://radiobostrom.com/3/the-fable-of-the-dragon-tyrant

📚 The Mars Trilogy
https://en.wikipedia.org/wiki/Mars_trilogy

🎙️ Harry Potter and the Methods of Rationality
https://hpmorpodcast.com/?page_id=56",0,Reaction,General,,,
thanks for sharing these along with the links - I'll try to get around to reading them,2,Reaction,General,,,
"Was wondering if anyone watches these things and what they think of them. They are simulated movie clips generated by A.I. This type of media is becoming a lot more prevalent now. They are all different types and I watch them alot, I find them quite interesting",0,Community question,General,,,
"# Its official. JellyfishDAO now has emojis. **The perks of being on this forum just got even better! Use these for fun, use these to express yourself, use these to spread the word about longevity and let everyone know of the great work that's being done in longevity media and longevity science to help us all live extended, healthier, lifespans!!!**",5,Strategic announcement,General,,,
This is a big discussion 🙃  Would make for a good convo at some point,1,Reaction,General,,,
"Yes they could potentially make a good discussion for a movie night, especially if longevity themed",0,Reaction,General,,,
We're official!,1,Strategic announcement,General,,,
"Too hard to read the image 😅 👓

So, official for what? 🙂",0,Reaction,General,,,
We are officially a Delaware LLC. 🙂,7,Strategic announcement,General,,,
https://www.pump.science,3,Link,General,,,
https://www.enhanced.com/the-team,7,Link,General,,,
"I've been following this project since it started and am very excited to see what they can achieve! 🙂
I think they could really help with our message and public communication as well 🙂

Even if you have to be quite careful with which interview you watch by Joe, this one is a great place to start to learn about the thought process behind the enhanced games 🤓👍
https://youtu.be/qRLAiEZLpVg",1,Reaction,General,,,
"As 2024 wraps up, what do y'all think were the top 1–3 anti-aging breakthroughs/interventions this year?",1,Community question,General,,,
"I dont know of anything thats particularly effective at the moment, hopefully theres someone out there that does! 
As far as I can see the only things that give us really impressive results are things like steriods, but they only help keep the body healthy by making it more muscular and wont stop the body from aging. 

I think things like stem cell and gene theraupy have the potential to be very effective means to rejunevating the human body and could help us live vastly longer and healthier lifespans, but at the moment the applications for them are very limited",1,Reaction,General,,,
"I don’t know 1 singular thing, but I think Bryan Johnson has really shown what is possible and brought it to a wider audience this year.",2,Reaction,General,,,
"Age Reversal Unity filed a petition asking the U.S. Government to classify immortality as a human right. If you agree, click on this link and sign the petition: ",6,Community suggestion,General,,,
"While they've managed to amass considerable fortunes over the years, unfortunately, without access to proper life extension and rejuvenative biotechnologies, many of these great actors have visibly aged now",1,Link,General,,,
First look at Fountain of Youth adventure movie Guy Ritchie 🎥 ,2,Community suggestion,General,,,
"It seems like it could be very similar to the story of Taita who is a character in 'the quest', who also stumbles across a 'fountain of youth' that rejunevates his body back to (and really past a peak) of baseline physical health. There could easily be something like out there somewhere where a mineral or something has seeped into the water giving it rejunevate or health related properties. I can't wait to it comes out it...looks very interesting",2,Reaction,General,,,
yes! yes ! 🎥🤩✨,0,Reaction,General,,,
"I made a song with ai, I hope you like it",1,Community suggestion,General,,,
"Amazing, I didnt know you could make things like that with it - really cool!",0,Reaction,General,,,
yo,2,Introduction,General,,,
**My new years resolutions**- Contribute my talent and intellect to help the longevity community get closer to developing life extension biotechnology. - Keep Working out and continue to build muscle. - Strive to attain a new physical peak in life,3,Personal opinion,General,,,
Hsppy new year all!,2,Announcement,General,,,
"# Some great longevity media released today. 
This is the type of thing that moves us closer to our goals. Its also great timing too as it comes ahead of the launch of our own token - $jelly",1,Announcement,General,,,
"**As JellyfishDAO is dedicated to longevity media, and as we have some of the best people in the business as far as the industry is concerned, we may want to try reaching out at some point and see if he wants to work with us on any future endeavours regarding media where promoting longevity is concerned**",0,Community suggestion,General,,,
Something along the lines of connecting with individuals for the puposes of making a documentary on those who have made meaningful contributions to advancing the goal of longevity/rejuvenation/ human life extension in our lifetimes would be a good idea,0,Community suggestion,General,,,
Taita was a BOSS!!!!!! That is a FANTASTIC read.,0,Reaction,General,,,
We have been in touch and will be seeing him on the 18th as part of our AgeLess project.,2,Strategic announcement,General,,,
"I'm curious, have there been any pitches here (or otherwise to JellyfishDAO) of longevity themed video games?",2,Community question,General,,,
"Most formats of game wouldn't particularly work, but a visual novel with longevity themes has been a recurring idea in my head. Low (relative) development cost, high focus on narrative and therefore theme and character. Lots of space to explore perspectives on long lives. Transhumanism generally shows up in the genre fairly often.",2,Personal opinion,General,,,
"I've definitely noticed that games are looked upon kindly here, which is good. They're a more important way than ever to penetrate the zeitgeist. 

Another benefit of visual novels is that their fanbases tend to be... dedicated.",4,Personal opinion,General,,,
"I could see a fan of visual novels generally who identifies with a character in our hypothetical game educating themselves (even if only a little) about the real life industry the game is inspired by, and in that way it could be a pipeline to create more longevity enthusiasts. One of the recurring issues after all, is that people do not know legitimate research is being done.",4,Personal opinion,General,,,
"I have a few friends who do or have done game dev who I've bounced this idea off of before who have responded positively. I'll continue to paw the idea around in my head, a good non-preachy narrative with strong characters who don't feel like strawmen arguments for longevity is a key here, and that would take care to do well. But if I have a strong idea, I may begin putting together a team for this, or at least try to formalise a document on it.",4,Personal opinion,General,,,
"Amazing, please keep us posted as Im sure those of us on this forum would be very interested to know this goes",1,Reaction,General,,,
"Yes its great abit of fantasy written all the back in 2007. The quest is the last of a 3 part triology that starred Taita as the protagnist, although in the setting he was already 156years old, so he had found some natural way to extend his life through natural processes it seems. But its in The Quest, towards the end in his climatic battle with Eos that he finds the fountain of youth that rejuvenates his body back to its peak of baseline physical health, its an magnificent story that would really make for a great movie",2,Reaction,General,,,
"We'd definitely love to eventually producing games with the DAO in the long run. I've been tinkering with a simple retro endless runner style longevity themed game (not at all a game dev, just a hobbyist tinkering around for fun). One day I'll finish it as a fun promotion for JellyfishDAO.",3,Reaction,General,,,
"Heh, maybe some day we can have a little digital arcade of longevity themed minigames",2,Community question,General,,,
"But whilst I don't want to make a huge song and dance of it in case it fizzles out, I can announce I've put together a starting 5 Dev team and begun work upon a game as of yesterday. Managed to get a strong enough plot idea.",2,Personal opinion,General,,,
Hi,4,Introduction,General,,,
"I have a raw but interesting idea.
What if we crowdfunded advertisements for our ideas and movement?
F.e. I’d be happy to donate $0.02 for every thousand views of a video or post about indefinite life extension.
Of course $0.02 is very small, but if 200 people contribute similarly, it could become even profitable.

My background is that I made such advertisement with my money about 8 years ago, and my posts got a few million views in my country social network. Eventually, I decided that it's too expensive for me. But if we manage to organize such things collectively, it might be cheap for participants, while still very interesting.",1,Community suggestion,General,,,
"yes I read a couple of the prequels, they were also action packed",2,Reaction,General,,,
I like this idea and would match you.,0,Reaction,General,,,
Same here,0,Reaction,General,,,
Art creating novelty with substance is the highest celebration of being alive 🙂.,4,Personal opinion,General,,,
"Hi guys, I'm starting a podcast on future technologies and will be bringing on guests (typically people from tech startups, professors, etc) to discuss topics like AI and biotech. I am currently looking for an interesting person in the longevity space to come on, ideally to talk about things like radical lifespan extension. Any suggestions? Thanks in advance.",2,Community question,General,,,
"Sounds great! 🙂👍

I would suggest that you start with people from this list, all amazing! 🙂
https://www.agingbiotech.info/people

Otherwise I would check out which have been been on other longevity podcasts 🙂

Best of luck! 🙂",1,Reaction,General,,,
"Thank you!
I’ll let y’all know when it launches 🙂",0,Reaction,General,,,
"Thanks! Pretty simple mechanics - just dodge enemies with increasing difficulty and the main mechanic is an age/damage meter that fills up both over time and from hits and you collect special nutrients to fill a rejuvenation meter that you can use to 'reverse' or clear your age/damage. You also move slower as you get more age/damage, so my hope was to have a true feeling of that immediate difference from old frailty to young mobility as a longevity mechanic. Main goal current is high score built out of how long you live. I have an early prototype I'm happy to dm anyone who wants to test it out 🙂",2,Reaction,General,,,
Would be really fun,0,Reaction,General,,,
Maybe we could have occasional fun game brainstorm meetings where we both discuss how we could bring more gamers into the Jellyfish fold as well potentially how we could build out more support for longevity games as we move along,3,Community suggestion,General,,,
"As development begins to take shape I'd be happy to keep you guys updated on our own understanding of this also. One thing we're going to do as part of the pre-production stage is attempt to track down games, mainly visual novels with similar themes narratively and see how they were received and how we can adapt to that.",4,Community suggestion,General,,,
"Is anyone a member of the OU?

https://www.oustudents.com/get-involved/clubs-and-societies/how-to-set-up-a-club/

Could be a good thing to set up a Jellyfish related longevity club...

clubs

Two OU students who are members of the Association to be Club Lead and Second Lead
A minimum of five students as members
A club name and purpose (make sure this is distinct from existing clubs and societies)
A platform where you meet (Facebook, Discord etc.)

",2,Community question,All-Longevity,,,
https://x.com/emigal/status/1848756972201431438,1,Link,All-Longevity,,,
"A nice short blog post about regeneration, which was a topic some weeks ago for our movie nights 🙂

From Cell Death to Regeneration",2,Community suggestion,All-Longevity,,,
"yes, he's romanian as well 🙂",1,Reaction,All-Longevity,,,
"What do people think? Do you feel that people in todays societies fully understand life extension and have the proper education as to why extending human lifespan should be important to them?
",8,Poll,All-Longevity,,,
https://www.youtube.com/watch?v=GK_zoU9dD9M,1,Link,All-Longevity,,,
"""The Longevity Hackers documentary, funded by the VitaDAO community with $100,000, is available to stream! 🎬

With stars such as Bryan Johnson, Mark Cuban, Steve Aoki, Peter Diamandis, Tony Robbins, Wim Hof

And experts in longevity science like Aubrey de Grey, Nir Barzilai, Bill Andrews, Sergey Young, Brad Stanfield, Matt Kaeberlein

And Edward Norton is the narrator!

More details here:"" https://longevity.technology/news/longevity-hackers-a-cinematic-exploration-of-the-science-of-aging/",2,Community suggestion,All-Longevity,,,
"Vitalist Bay - and our core member‘s announcement: 

We’re sparking a Manhattan Project to solve aging!

Vitalist Bay. Apr 4 - May 29, 2025.

Thousands of experts and pioneers, gathering to build a new capital for longevity in Berkeley, California.

Join us on the most ambitious mission ever conceived!",5,Community suggestion,All-Longevity,,,
"To our whole community: please repost this message so that more people can see it and decide if they want to join! 🙂

It's also posted here 🙂

And more info 🤓
",3,Community suggestion,All-Longevity,,,
https://x.com/ashleevance/status/1866886221299061238,3,Link,All-Longevity,,,
https://x.com/JellyfishDAO/status/1882142820372533364,4,Link,All-Longevity,,,
"One of the educational orgs I'm involved in running, LongX, is now accepting applications for its second cohort! Good for those interested in longevity, but not necessarily well versed in the science. Especially undergraduates! Please feel free to apply if this sounds like you :)",2,Announcement,All-Longevity,,,
"Would also note, it's online only so particularly suited for those outside of the US compared to something like LBF.",3,Announcement,All-Longevity,,,
